@relation training_50.arff

@attribute THROWS numeric
@attribute GOTO numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute LOCALS numeric
@attribute IF numeric
@attribute DEREFERNCES numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,0,1,0,0,0,0,0,0,0,0,0,?
0,1,3,0,1,2,1,1,0,1,0,0,?
0,0,3,1,0,1,0,1,0,0,0,0,?
0,0,3,1,0,2,0,1,0,0,0,0,?
0,0,5,0,3,7,0,3,0,2,1,0,?
0,0,14,7,8,21,0,0,0,0,4,0,?
0,0,6,1,3,5,0,4,3,3,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,9,4,6,16,0,3,0,2,1,0,?
0,4,11,1,4,14,4,3,0,1,0,2,?
0,4,11,1,4,14,4,3,0,1,0,1,?
0,5,15,4,7,22,5,3,0,1,0,2,?
0,0,6,1,1,7,0,4,1,1,0,0,?
0,3,24,8,13,36,2,7,0,3,1,0,?
0,4,28,7,15,50,2,6,1,1,1,0,?
1,0,11,6,7,19,0,1,0,0,2,0,?
0,2,13,2,4,18,1,6,0,1,0,0,?
0,2,23,14,14,43,1,4,0,0,1,1,?
0,0,26,8,16,41,0,17,0,16,0,0,?
1,0,10,5,6,16,0,1,0,0,2,0,?
0,0,5,0,4,0,0,4,4,4,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,5,1,2,7,0,3,0,2,0,0,?
0,0,5,2,2,7,0,1,0,0,1,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
0,1,3,0,1,2,1,1,0,1,0,0,?
0,0,3,1,0,1,0,1,0,0,0,0,?
0,0,5,1,0,6,0,3,0,0,0,0,?
0,0,21,6,14,32,0,11,6,9,3,0,?
0,1,6,0,2,7,1,3,0,1,0,0,?
0,1,13,1,7,22,1,6,0,3,0,0,?
0,1,13,1,7,22,1,6,0,3,0,0,?
0,1,17,3,9,30,1,8,0,3,0,0,?
0,2,18,3,10,32,1,7,0,3,0,1,?
0,2,18,3,11,32,1,6,0,3,0,1,?
0,0,22,9,11,36,0,8,0,5,1,0,?
0,2,6,0,2,7,2,3,0,2,0,1,?
0,1,11,5,4,14,0,3,0,2,1,0,?
0,3,45,22,27,74,2,14,0,13,1,0,?
0,0,9,0,8,11,0,7,1,4,1,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,4,1,2,5,0,0,0,0,1,0,?
0,3,8,2,2,11,3,2,0,0,0,2,?
0,4,12,2,5,19,4,4,0,2,0,3,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,1,0,2,0,1,0,0,0,0,?
0,8,32,14,15,31,8,5,2,4,0,8,?
0,8,36,18,17,35,8,5,2,4,0,8,?
0,7,28,12,13,27,7,4,2,3,0,7,?
0,7,28,12,13,28,7,4,1,3,0,7,?
0,8,28,10,13,27,8,5,2,4,0,8,?
0,7,20,4,9,19,7,4,2,3,0,7,?
0,8,20,2,9,19,8,5,2,4,0,8,?
0,7,24,8,11,24,7,4,1,3,0,7,?
0,6,16,2,7,16,6,3,1,2,0,6,?
0,7,20,4,9,19,7,4,2,3,0,7,?
0,7,24,8,11,23,7,4,2,3,0,7,?
0,6,16,2,7,15,6,3,2,2,0,6,?
0,6,16,2,7,16,6,3,1,2,0,6,?
0,8,36,18,17,35,8,5,2,4,0,8,?
0,7,28,12,13,27,7,4,2,3,0,7,?
0,8,28,10,13,27,8,5,2,4,0,8,?
0,7,32,16,15,32,7,4,1,3,0,7,?
0,6,24,10,11,24,6,3,1,2,0,6,?
0,8,20,2,9,19,8,5,2,4,0,8,?
0,8,24,6,11,23,8,5,2,4,0,8,?
0,7,16,0,7,15,7,4,2,3,0,7,?
0,7,16,0,7,16,7,4,1,3,0,7,?
0,7,24,8,11,23,7,4,2,3,0,7,?
0,6,16,2,7,15,6,3,2,2,0,6,?
0,7,16,0,7,15,7,4,2,3,0,7,?
0,6,20,6,9,20,6,3,1,2,0,6,?
0,5,12,0,5,12,5,2,1,1,0,5,?
0,7,28,12,13,28,7,4,1,3,0,7,?
0,7,32,16,15,32,7,4,1,3,0,7,?
0,6,24,10,11,24,6,3,1,2,0,6,?
0,6,24,10,11,25,6,3,0,2,0,6,?
0,7,24,8,11,24,7,4,1,3,0,7,?
0,6,16,2,7,16,6,3,1,2,0,6,?
0,7,16,0,7,16,7,4,1,3,0,7,?
0,6,20,6,9,21,6,3,0,2,0,6,?
0,5,12,0,5,13,5,2,0,1,0,5,?
0,6,16,2,7,16,6,3,1,2,0,6,?
0,6,20,6,9,20,6,3,1,2,0,6,?
0,5,12,0,5,12,5,2,1,1,0,5,?
0,5,12,0,5,13,5,2,0,1,0,5,?
0,8,39,20,19,39,8,5,2,4,0,8,?
0,7,31,14,15,31,7,4,2,3,0,7,?
0,8,31,12,15,31,8,5,2,4,0,8,?
0,7,35,18,17,36,7,4,1,3,0,7,?
0,6,27,12,13,28,6,3,1,2,0,6,?
0,8,23,4,11,23,8,5,2,4,0,8,?
0,8,27,8,13,27,8,5,2,4,0,8,?
0,7,19,2,9,19,7,4,2,3,0,7,?
0,7,19,2,9,20,7,4,1,3,0,7,?
0,7,27,10,13,27,7,4,2,3,0,7,?
0,6,19,4,9,19,6,3,2,2,0,6,?
0,7,19,2,9,19,7,4,2,3,0,7,?
0,6,23,8,11,24,6,3,1,2,0,6,?
0,5,15,2,7,16,5,2,1,1,0,5,?
0,8,31,12,15,31,8,5,2,4,0,8,?
0,8,35,16,17,35,8,5,2,4,0,8,?
0,7,27,10,13,27,7,4,2,3,0,7,?
0,7,27,10,13,28,7,4,1,3,0,7,?
0,8,27,8,13,27,8,5,2,4,0,8,?
0,7,19,2,9,19,7,4,2,3,0,7,?
0,8,19,0,9,19,8,5,2,4,0,8,?
0,7,23,6,11,24,7,4,1,3,0,7,?
0,6,15,0,7,16,6,3,1,2,0,6,?
0,7,19,2,9,19,7,4,2,3,0,7,?
0,7,23,6,11,23,7,4,2,3,0,7,?
0,6,15,0,7,15,6,3,2,2,0,6,?
0,6,15,0,7,16,6,3,1,2,0,6,?
0,7,35,18,17,36,7,4,1,3,0,7,?
0,6,27,12,13,28,6,3,1,2,0,6,?
0,7,27,10,13,28,7,4,1,3,0,7,?
0,6,31,16,15,33,6,3,0,2,0,6,?
0,5,23,10,11,25,5,2,0,1,0,5,?
0,7,19,2,9,20,7,4,1,3,0,7,?
0,7,23,6,11,24,7,4,1,3,0,7,?
0,6,15,0,7,16,6,3,1,2,0,6,?
0,6,15,0,7,17,6,3,0,2,0,6,?
0,6,23,8,11,24,6,3,1,2,0,6,?
0,5,15,2,7,16,5,2,1,1,0,5,?
0,6,15,0,7,16,6,3,1,2,0,6,?
0,5,19,6,9,21,5,2,0,1,0,5,?
0,4,11,0,5,13,4,1,0,0,0,4,?
0,4,14,2,7,15,4,4,1,3,0,4,?
0,4,49,26,35,75,4,8,1,7,4,4,?
0,3,10,0,5,11,3,3,1,2,0,3,?
