@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute LOCALS numeric
@attribute STATEMENTS numeric
@attribute DEREFERNCES numeric
@attribute THROWS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute class {hot,cold}

@data
0,0,0,0,0,1,0,0,0,0,0,0,hot
1,1,0,0,5,7,1,0,2,2,3,0,hot
0,1,0,0,2,3,1,0,1,1,1,0,hot
1,0,0,0,0,2,0,0,0,0,0,0,hot
1,0,0,0,1,3,1,0,0,0,0,0,hot
1,0,0,0,6,5,3,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
0,2,1,0,7,5,3,0,0,3,0,0,hot
1,0,0,0,4,3,1,0,0,1,0,0,hot
7,0,4,0,21,14,0,0,0,8,0,0,hot
9,3,1,0,29,15,4,0,0,12,0,0,cold
1,3,0,0,5,6,4,0,0,3,0,3,hot
1,5,0,0,11,10,8,0,0,5,0,5,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
4,2,1,0,16,9,3,0,0,6,0,0,cold
1,1,0,0,7,6,4,0,0,1,0,1,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
8,3,1,0,36,24,7,0,2,13,3,0,cold
7,2,1,0,24,17,5,0,1,9,1,0,cold
7,1,1,0,50,28,6,0,2,15,4,1,cold
3,1,0,0,19,14,6,0,1,5,2,1,cold
6,0,2,0,19,11,1,1,0,7,0,0,hot
6,1,1,0,49,27,6,0,2,14,4,0,cold
2,1,0,0,18,13,6,0,1,4,2,0,hot
6,0,2,0,19,11,1,1,0,7,0,0,hot
14,0,1,1,43,23,4,0,1,14,2,0,cold
14,0,1,1,43,22,4,0,1,14,1,0,cold
8,16,0,0,41,26,17,0,0,16,0,0,hot
11,10,2,0,38,31,14,0,0,24,1,4,cold
5,0,2,0,16,10,1,1,0,6,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
0,4,0,0,0,5,4,0,0,4,0,4,hot
1,2,0,0,8,7,5,0,0,2,0,2,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
1,2,0,0,9,5,3,0,0,3,0,0,hot
1,2,0,0,7,5,3,0,0,2,0,0,hot
1,2,0,0,7,5,3,0,0,2,0,0,hot
2,0,1,0,7,5,1,0,0,2,0,0,hot
2,1,1,0,12,7,2,0,0,4,0,0,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
1,1,0,0,6,7,1,0,2,2,3,0,hot
0,1,0,0,2,3,1,0,1,1,1,0,hot
1,0,0,0,0,2,0,0,0,0,0,0,hot
1,0,0,0,1,3,1,0,0,0,0,0,hot
1,0,0,0,0,2,0,0,0,0,0,0,hot
1,0,0,0,6,5,3,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
6,9,3,0,32,21,11,0,0,14,0,6,cold
0,2,0,0,9,7,4,0,1,3,1,1,hot
0,1,0,0,7,6,3,0,1,2,1,0,hot
2,4,1,0,26,16,7,0,1,9,1,1,cold
1,3,0,0,22,13,6,0,1,7,1,0,cold
2,4,1,0,26,16,7,0,1,9,1,1,cold
1,3,0,0,22,13,6,0,1,7,1,0,cold
12,4,2,0,58,30,9,0,1,18,1,0,cold
3,3,0,0,30,17,8,0,1,9,1,0,cold
11,19,3,0,84,45,24,0,0,30,0,1,cold
3,3,0,1,32,18,7,0,1,10,2,0,cold
5,4,1,1,39,21,8,0,1,11,1,0,cold
3,3,0,1,32,18,6,0,1,11,2,0,cold
5,4,1,1,39,21,7,0,1,12,1,0,cold
9,5,1,0,36,22,8,0,0,11,0,0,cold
