@relation observations_40.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
0,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster1
1,0,1,0,7,1,3,5,0,2,0,1,2,?,cluster1
2,0,1,0,3,0,1,2,0,1,0,1,1,?,cluster1
3,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster1
4,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster1
5,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster1
6,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
7,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
8,0,3,1,5,0,0,7,0,0,0,2,3,?,cluster1
9,0,1,0,3,1,0,4,0,0,0,0,1,?,cluster1
10,0,0,4,14,7,0,21,0,0,0,0,8,?,cluster1
11,0,4,1,15,9,0,29,0,0,0,3,12,?,cluster1
12,0,4,0,6,1,0,5,0,0,3,3,3,?,cluster1
13,0,8,0,10,1,0,11,0,0,5,5,5,?,cluster1
14,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster1
15,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
16,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
17,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
18,0,3,1,9,4,0,16,0,0,0,2,6,?,cluster1
19,0,2,0,4,0,1,3,0,1,0,0,0,?,cluster1
20,0,3,0,11,1,4,14,2,4,0,1,4,?,cluster1
21,0,3,0,14,4,4,22,2,4,0,1,7,?,cluster1
22,0,3,0,11,1,4,14,1,4,0,1,4,?,cluster1
23,0,3,0,18,7,5,30,2,5,0,1,10,?,cluster1
24,0,3,0,15,4,5,22,2,5,0,1,7,?,cluster1
25,0,2,0,6,0,2,6,1,2,0,0,1,?,cluster1
26,0,4,0,6,1,0,7,0,0,1,1,1,?,cluster1
27,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster1
28,0,7,1,24,8,3,36,0,2,0,3,13,?,cluster1
29,0,5,1,17,7,1,24,0,1,0,2,9,?,cluster1
30,0,6,1,28,7,4,50,0,2,1,1,15,?,cluster1
31,0,6,0,14,3,2,19,0,1,1,1,5,?,cluster1
32,1,1,2,11,6,0,19,0,0,0,0,7,?,cluster1
33,0,6,1,27,6,4,49,0,2,0,1,14,?,cluster1
34,0,6,0,13,2,2,18,0,1,0,1,4,?,cluster1
35,1,1,2,11,6,0,19,0,0,0,0,7,?,cluster1
36,0,4,1,23,14,2,43,1,1,0,0,14,?,cluster1
37,0,4,1,22,14,1,43,1,1,0,0,14,?,cluster1
38,0,17,0,26,8,0,41,0,0,0,16,16,?,cluster1
39,0,14,2,31,11,1,38,0,0,4,10,24,?,cluster1
40,1,1,2,10,5,0,16,0,0,0,0,6,?,cluster1
41,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
42,0,4,0,5,0,0,0,0,0,4,4,4,?,cluster1
43,0,5,0,7,1,0,8,0,0,2,2,2,?,cluster1
44,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
45,0,3,0,5,1,0,9,0,0,0,2,3,?,cluster1
46,0,3,0,5,1,0,7,0,0,0,2,2,?,cluster1
47,0,3,0,5,1,0,7,0,0,0,2,2,?,cluster1
48,0,1,1,5,2,0,7,0,0,0,0,2,?,cluster1
49,0,2,1,7,2,0,12,0,0,0,1,4,?,cluster1
50,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster1
51,0,1,0,7,1,3,6,0,2,0,1,2,?,cluster1
52,0,1,0,3,0,1,2,0,1,0,1,1,?,cluster1
53,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster1
54,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster1
55,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster1
56,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster1
57,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
