@relation observations.arff

@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute GOTO numeric
@attribute INVOCATIONS numeric
@attribute THROWS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute FIELDS_WRITTEN numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,0,0,0,0,0,0,1,0,0,0,0,?
5,1,3,1,0,1,0,7,2,2,0,0,?
2,1,1,0,0,1,0,3,1,1,0,0,?
0,0,0,1,0,0,0,2,0,0,0,0,?
1,1,0,1,0,0,0,3,0,0,0,0,?
6,3,0,1,0,0,0,5,0,0,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
7,3,0,0,0,2,1,5,0,3,0,0,?
4,1,0,1,0,0,0,3,0,1,0,0,?
21,0,0,7,0,0,4,14,0,8,0,0,?
29,4,0,9,0,3,1,15,0,12,0,0,?
5,4,0,1,0,3,0,6,0,3,3,0,?
11,8,0,1,0,5,0,10,0,5,5,0,?
4,3,0,0,0,1,0,4,0,1,1,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
16,3,0,4,0,2,1,9,0,6,0,0,?
3,2,1,0,0,0,0,4,1,0,0,0,?
14,3,4,1,0,1,0,11,4,4,0,2,?
22,3,4,4,0,1,0,14,4,7,0,2,?
14,3,4,1,0,1,0,11,4,4,0,1,?
30,3,5,7,0,1,0,18,5,10,0,2,?
22,3,5,4,0,1,0,15,5,7,0,2,?
6,2,2,0,0,0,0,6,2,1,0,1,?
7,4,0,1,0,1,0,6,0,1,1,0,?
0,0,0,0,0,0,0,1,0,0,0,0,?
36,7,3,8,0,3,1,24,2,13,0,0,?
24,5,1,7,0,2,1,17,1,9,0,0,?
50,6,4,7,0,1,1,28,2,15,1,0,?
19,6,2,3,0,1,0,14,1,5,1,0,?
19,1,0,6,1,0,2,11,0,7,0,0,?
49,6,4,6,0,1,1,27,2,14,0,0,?
18,6,2,2,0,1,0,13,1,4,0,0,?
19,1,0,6,1,0,2,11,0,7,0,0,?
43,4,2,14,0,0,1,23,1,14,0,1,?
43,4,1,14,0,0,1,22,1,14,0,1,?
41,17,0,8,0,16,0,26,0,16,0,0,?
38,14,1,11,0,10,2,31,0,24,4,0,?
16,1,0,5,1,0,2,10,0,6,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
0,4,0,0,0,4,0,5,0,4,4,0,?
8,5,0,1,0,2,0,7,0,2,2,0,?
4,2,0,0,0,1,0,3,0,1,0,0,?
9,3,0,1,0,2,0,5,0,3,0,0,?
7,3,0,1,0,2,0,5,0,2,0,0,?
7,3,0,1,0,2,0,5,0,2,0,0,?
7,1,0,2,0,0,1,5,0,2,0,0,?
12,2,0,2,0,1,1,7,0,4,0,0,?
0,0,0,0,0,0,0,1,0,0,0,0,?
6,1,3,1,0,1,0,7,2,2,0,0,?
2,1,1,0,0,1,0,3,1,1,0,0,?
0,0,0,1,0,0,0,2,0,0,0,0,?
1,1,0,1,0,0,0,3,0,0,0,0,?
0,0,0,1,0,0,0,2,0,0,0,0,?
6,3,0,1,0,0,0,5,0,0,0,0,?
2,1,0,1,0,0,0,3,0,0,0,0,?
32,11,0,6,0,9,3,21,0,14,6,0,?
9,4,1,0,0,2,0,7,1,3,1,0,?
7,3,1,0,0,1,0,6,1,2,0,0,?
26,7,1,2,0,4,1,16,1,9,1,0,?
22,6,1,1,0,3,0,13,1,7,0,0,?
26,7,1,2,0,4,1,16,1,9,1,0,?
22,6,1,1,0,3,0,13,1,7,0,0,?
58,9,1,12,0,4,2,30,1,18,0,0,?
30,8,1,3,0,3,0,17,1,9,0,0,?
84,24,0,11,0,19,3,45,0,30,1,0,?
32,7,2,3,0,3,0,18,1,10,0,1,?
39,8,1,5,0,4,1,21,1,11,0,1,?
32,6,2,3,0,3,0,18,1,11,0,1,?
39,7,1,5,0,4,1,21,1,12,0,1,?
36,8,0,9,0,5,1,22,0,11,0,0,?
84,21,2,17,0,20,5,49,2,28,1,1,?
7,3,2,0,0,2,0,6,2,2,0,1,?
81,20,1,17,0,19,5,47,1,27,1,0,?
14,3,1,5,0,2,1,11,0,4,0,0,?
5,2,0,1,0,1,0,5,0,2,0,0,?
74,14,3,22,0,13,1,45,2,27,0,0,?
