@relation training_50.arff

@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute GOTO numeric
@attribute INVOCATIONS numeric
@attribute THROWS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute FIELDS_WRITTEN numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,0,0,0,0,0,0,1,0,0,0,0,hot
2,1,1,0,0,1,0,3,1,1,0,0,hot
1,1,0,1,0,0,0,3,0,0,0,0,hot
2,1,0,1,0,0,0,3,0,0,0,0,hot
7,3,0,0,0,2,1,5,0,3,0,0,hot
21,0,0,7,0,0,4,14,0,8,0,0,hot
5,4,0,1,0,3,0,6,0,3,3,0,hot
4,3,0,0,0,1,0,4,0,1,1,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
16,3,0,4,0,2,1,9,0,6,0,0,hot
14,3,4,1,0,1,0,11,4,4,0,2,hot
14,3,4,1,0,1,0,11,4,4,0,1,hot
22,3,5,4,0,1,0,15,5,7,0,2,hot
7,4,0,1,0,1,0,6,0,1,1,0,hot
36,7,3,8,0,3,1,24,2,13,0,0,hot
50,6,4,7,0,1,1,28,2,15,1,0,hot
19,1,0,6,1,0,2,11,0,7,0,0,hot
18,6,2,2,0,1,0,13,1,4,0,0,hot
43,4,2,14,0,0,1,23,1,14,0,1,hot
41,17,0,8,0,16,0,26,0,16,0,0,hot
16,1,0,5,1,0,2,10,0,6,0,0,hot
0,4,0,0,0,4,0,5,0,4,4,0,hot
4,2,0,0,0,1,0,3,0,1,0,0,hot
7,3,0,1,0,2,0,5,0,2,0,0,hot
7,1,0,2,0,0,1,5,0,2,0,0,hot
0,0,0,0,0,0,0,1,0,0,0,0,hot
2,1,1,0,0,1,0,3,1,1,0,0,hot
1,1,0,1,0,0,0,3,0,0,0,0,hot
6,3,0,1,0,0,0,5,0,0,0,0,hot
32,11,0,6,0,9,3,21,0,14,6,0,hot
7,3,1,0,0,1,0,6,1,2,0,0,hot
22,6,1,1,0,3,0,13,1,7,0,0,hot
22,6,1,1,0,3,0,13,1,7,0,0,hot
30,8,1,3,0,3,0,17,1,9,0,0,hot
32,7,2,3,0,3,0,18,1,10,0,1,hot
32,6,2,3,0,3,0,18,1,11,0,1,hot
36,8,0,9,0,5,1,22,0,11,0,0,hot
7,3,2,0,0,2,0,6,2,2,0,1,hot
14,3,1,5,0,2,1,11,0,4,0,0,hot
