@relation training_50.arff

@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute THROWS numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute STATEMENTS numeric
@attribute NEW numeric
@attribute LOCALS numeric
@attribute INVOCATIONS numeric
@attribute EQUAL numeric
@attribute FIELDS_WRITTEN numeric
@attribute DEREFERNCES numeric
@attribute class {hot,cold}

@data
0,0,0,0,0,1,0,0,0,0,0,0,?
1,1,0,1,1,3,0,2,0,0,0,1,?
0,0,0,0,0,3,0,1,1,0,0,1,?
0,0,0,0,0,3,0,2,1,0,0,1,?
2,3,0,0,0,5,1,7,0,0,0,3,?
0,8,0,0,0,14,4,21,7,0,0,0,?
3,3,0,0,0,6,0,5,1,0,3,4,?
1,1,0,0,0,4,0,4,0,0,1,3,?
1,1,0,0,0,3,0,4,0,0,0,2,?
2,6,0,0,0,9,1,16,4,0,0,3,?
1,4,0,4,4,11,0,14,1,2,0,3,?
1,4,0,4,4,11,0,14,1,1,0,3,?
1,7,0,5,5,15,0,22,4,2,0,3,?
1,1,0,0,0,6,0,7,1,0,1,4,?
3,13,0,3,2,24,1,36,8,0,0,7,?
1,15,0,4,2,28,1,50,7,0,1,6,?
0,7,1,0,0,11,2,19,6,0,0,1,?
1,4,0,2,1,13,0,18,2,0,0,6,?
0,14,0,2,1,23,1,43,14,1,0,4,?
16,16,0,0,0,26,0,41,8,0,0,17,?
0,6,1,0,0,10,2,16,5,0,0,1,?
4,4,0,0,0,5,0,0,0,0,4,4,?
1,1,0,0,0,3,0,4,0,0,0,2,?
2,2,0,0,0,5,0,7,1,0,0,3,?
0,2,0,0,0,5,1,7,2,0,0,1,?
0,0,0,0,0,1,0,0,0,0,0,0,?
1,1,0,1,1,3,0,2,0,0,0,1,?
0,0,0,0,0,3,0,1,1,0,0,1,?
0,0,0,0,0,5,0,6,1,0,0,3,?
9,14,0,0,0,21,3,32,6,0,6,11,?
1,2,0,1,1,6,0,7,0,0,0,3,?
3,7,0,1,1,13,0,22,1,0,0,6,?
3,7,0,1,1,13,0,22,1,0,0,6,?
3,9,0,1,1,17,0,30,3,0,0,8,?
3,10,0,2,1,18,0,32,3,1,0,7,?
3,11,0,2,1,18,0,32,3,1,0,6,?
5,11,0,0,0,22,1,36,9,0,0,8,?
2,2,0,2,2,6,0,7,0,1,0,3,?
2,4,0,1,0,11,1,14,5,0,0,3,?
13,27,0,3,2,45,1,74,22,0,0,14,?
4,8,0,0,0,9,1,11,0,0,1,7,?
1,1,0,0,0,3,0,4,0,0,0,2,?
0,2,0,0,0,4,1,5,1,0,0,0,?
0,2,0,3,3,8,0,11,2,2,0,2,?
2,5,0,4,4,12,0,19,2,3,0,4,?
1,1,0,0,0,3,0,4,0,0,0,2,?
0,0,0,0,0,3,0,2,1,0,0,1,?
4,15,0,8,8,32,0,31,14,8,2,5,?
4,17,0,8,8,36,0,35,18,8,2,5,?
3,13,0,7,7,28,0,27,12,7,2,4,?
3,13,0,7,7,28,0,28,12,7,1,4,?
4,13,0,8,8,28,0,27,10,8,2,5,?
3,9,0,7,7,20,0,19,4,7,2,4,?
4,9,0,8,8,20,0,19,2,8,2,5,?
3,11,0,7,7,24,0,24,8,7,1,4,?
2,7,0,6,6,16,0,16,2,6,1,3,?
3,9,0,7,7,20,0,19,4,7,2,4,?
3,11,0,7,7,24,0,23,8,7,2,4,?
2,7,0,6,6,16,0,15,2,6,2,3,?
2,7,0,6,6,16,0,16,2,6,1,3,?
4,17,0,8,8,36,0,35,18,8,2,5,?
3,13,0,7,7,28,0,27,12,7,2,4,?
4,13,0,8,8,28,0,27,10,8,2,5,?
3,15,0,7,7,32,0,32,16,7,1,4,?
2,11,0,6,6,24,0,24,10,6,1,3,?
4,9,0,8,8,20,0,19,2,8,2,5,?
4,11,0,8,8,24,0,23,6,8,2,5,?
3,7,0,7,7,16,0,15,0,7,2,4,?
3,7,0,7,7,16,0,16,0,7,1,4,?
3,11,0,7,7,24,0,23,8,7,2,4,?
2,7,0,6,6,16,0,15,2,6,2,3,?
3,7,0,7,7,16,0,15,0,7,2,4,?
2,9,0,6,6,20,0,20,6,6,1,3,?
1,5,0,5,5,12,0,12,0,5,1,2,?
3,13,0,7,7,28,0,28,12,7,1,4,?
3,15,0,7,7,32,0,32,16,7,1,4,?
2,11,0,6,6,24,0,24,10,6,1,3,?
2,11,0,6,6,24,0,25,10,6,0,3,?
3,11,0,7,7,24,0,24,8,7,1,4,?
2,7,0,6,6,16,0,16,2,6,1,3,?
3,7,0,7,7,16,0,16,0,7,1,4,?
2,9,0,6,6,20,0,21,6,6,0,3,?
1,5,0,5,5,12,0,13,0,5,0,2,?
2,7,0,6,6,16,0,16,2,6,1,3,?
2,9,0,6,6,20,0,20,6,6,1,3,?
1,5,0,5,5,12,0,12,0,5,1,2,?
1,5,0,5,5,12,0,13,0,5,0,2,?
4,19,0,8,8,39,0,39,20,8,2,5,?
3,15,0,7,7,31,0,31,14,7,2,4,?
4,15,0,8,8,31,0,31,12,8,2,5,?
3,17,0,7,7,35,0,36,18,7,1,4,?
2,13,0,6,6,27,0,28,12,6,1,3,?
4,11,0,8,8,23,0,23,4,8,2,5,?
4,13,0,8,8,27,0,27,8,8,2,5,?
3,9,0,7,7,19,0,19,2,7,2,4,?
