@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute STATEMENTS numeric
@attribute EQUAL numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute FIELDS numeric
@attribute FIELDS_WRITTEN numeric
@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute THROWS numeric
@attribute class {hot,cold}

@data
0,0,1,0,0,0,0,0,0,0,0,0,?
1,2,7,0,3,2,1,0,5,1,0,0,?
0,1,3,0,1,1,1,0,2,1,0,0,?
1,0,2,0,0,0,0,0,0,0,0,0,?
1,0,3,0,0,0,0,0,1,1,0,0,?
1,0,5,0,0,0,0,0,6,3,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,3,5,0,0,0,2,0,7,3,1,0,?
1,1,3,0,0,0,0,0,4,1,0,0,?
7,8,14,0,0,0,0,0,21,0,4,0,?
9,12,15,0,0,0,3,0,29,4,1,0,?
1,3,6,0,0,0,3,3,5,4,0,0,?
1,5,10,0,0,0,5,5,11,8,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
4,6,9,0,0,0,2,0,16,3,1,0,?
1,1,6,0,0,0,1,1,7,4,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
8,13,24,0,3,2,3,0,36,7,1,0,?
7,9,17,0,1,1,2,0,24,5,1,0,?
7,15,28,0,4,2,1,1,50,6,1,0,?
3,5,14,0,2,1,1,1,19,6,0,0,?
6,7,11,0,0,0,0,0,19,1,2,1,?
6,14,27,0,4,2,1,0,49,6,1,0,?
2,4,13,0,2,1,1,0,18,6,0,0,?
6,7,11,0,0,0,0,0,19,1,2,1,?
14,14,23,1,2,1,0,0,43,4,1,0,?
14,14,22,1,1,1,0,0,43,4,1,0,?
8,16,26,0,0,0,16,0,41,17,0,0,?
11,24,31,0,1,0,10,4,38,14,2,0,?
5,6,10,0,0,0,0,0,16,1,2,1,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,4,5,0,0,0,4,4,0,4,0,0,?
1,2,7,0,0,0,2,2,8,5,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
1,3,5,0,0,0,2,0,9,3,0,0,?
1,2,5,0,0,0,2,0,7,3,0,0,?
1,2,5,0,0,0,2,0,7,3,0,0,?
2,2,5,0,0,0,0,0,7,1,1,0,?
2,4,7,0,0,0,1,0,12,2,1,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
1,2,7,0,3,2,1,0,6,1,0,0,?
0,1,3,0,1,1,1,0,2,1,0,0,?
1,0,2,0,0,0,0,0,0,0,0,0,?
1,0,3,0,0,0,0,0,1,1,0,0,?
1,0,2,0,0,0,0,0,0,0,0,0,?
1,0,5,0,0,0,0,0,6,3,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
6,14,21,0,0,0,9,6,32,11,3,0,?
0,3,7,0,1,1,2,1,9,4,0,0,?
0,2,6,0,1,1,1,0,7,3,0,0,?
2,9,16,0,1,1,4,1,26,7,1,0,?
1,7,13,0,1,1,3,0,22,6,0,0,?
2,9,16,0,1,1,4,1,26,7,1,0,?
1,7,13,0,1,1,3,0,22,6,0,0,?
12,18,30,0,1,1,4,0,58,9,2,0,?
3,9,17,0,1,1,3,0,30,8,0,0,?
11,30,45,0,0,0,19,1,84,24,3,0,?
3,10,18,1,2,1,3,0,32,7,0,0,?
5,11,21,1,1,1,4,0,39,8,1,0,?
3,11,18,1,2,1,3,0,32,6,0,0,?
5,12,21,1,1,1,4,0,39,7,1,0,?
9,11,22,0,0,0,5,0,36,8,1,0,?
17,28,49,1,2,2,20,1,84,21,5,0,?
0,2,6,1,2,2,2,0,7,3,0,0,?
17,27,47,0,1,1,19,1,81,20,5,0,?
5,4,11,0,1,0,2,0,14,3,1,0,?
1,2,5,0,0,0,1,0,5,2,0,0,?
22,27,45,0,3,2,13,0,74,14,1,0,?
17,20,35,0,1,1,12,0,54,13,1,0,?
0,8,9,0,0,0,4,1,11,7,1,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
3,4,8,0,0,0,1,1,10,2,1,0,?
1,2,4,0,0,0,0,0,5,0,1,0,?
0,0,4,0,1,1,0,0,4,2,0,0,?
2,2,8,2,3,3,0,0,11,2,0,0,?
2,5,12,3,4,4,2,0,19,4,0,0,?
2,5,12,3,4,4,2,0,19,4,0,0,?
0,0,5,1,2,2,0,0,5,2,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
4,5,8,0,0,0,1,0,13,2,1,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
28,36,51,4,4,4,7,1,77,8,4,0,?
2,7,14,4,4,4,3,1,15,4,0,0,?
2,6,12,3,3,3,2,1,13,3,0,0,?
26,35,49,4,4,4,7,1,75,8,4,0,?
0,6,12,4,4,4,3,1,13,4,0,0,?
0,5,10,3,3,3,2,1,11,3,0,0,?
26,34,47,3,3,3,6,0,74,7,4,0,?
0,5,10,3,3,3,2,0,12,3,0,0,?
0,4,8,2,2,2,1,0,10,2,0,0,?
28,37,52,4,4,4,7,1,79,8,4,0,?
2,8,15,4,4,4,3,1,17,4,0,0,?
2,7,13,3,3,3,2,1,15,3,0,0,?
26,36,50,4,4,4,7,1,77,8,4,0,?
0,7,13,4,4,4,3,1,15,4,0,0,?
0,6,11,3,3,3,2,1,13,3,0,0,?
26,35,48,3,3,3,6,0,76,7,4,0,?
0,6,11,3,3,3,2,0,14,3,0,0,?
0,5,9,2,2,2,1,0,12,2,0,0,?
4,0,6,0,0,0,0,0,5,1,0,0,?
6,7,18,1,5,3,1,0,18,2,0,0,?
6,7,17,1,4,3,1,0,18,2,0,0,?
5,5,13,1,3,2,1,0,12,2,0,0,?
5,5,12,1,2,2,1,0,12,2,0,0,?
1,0,3,0,0,0,0,0,1,1,0,0,?
2,7,8,0,0,0,4,4,6,4,0,0,?
4,10,18,0,3,2,3,2,23,5,3,0,?
3,6,11,0,1,1,2,2,13,3,2,0,?
1,1,3,0,0,0,0,0,3,0,1,0,?
0,0,4,0,1,1,0,0,4,2,0,0,?
2,2,8,2,3,3,0,0,11,2,0,0,?
2,5,12,3,4,4,2,0,19,4,0,0,?
3,8,16,3,5,5,4,0,27,6,0,0,?
3,8,16,3,5,5,4,0,27,6,0,0,?
0,0,5,1,2,2,0,0,5,2,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,3,5,0,0,0,2,0,9,3,0,0,?
9,10,25,2,4,2,4,0,46,7,0,0,?
9,10,24,2,3,2,4,0,45,7,0,0,?
6,7,17,1,1,1,4,0,33,7,0,0,?
1,2,6,0,2,1,0,0,6,1,0,0,?
