@relation training_10.arff

@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute EQUAL numeric
@attribute FIELDS numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute IF numeric
@attribute LOCALS numeric
@attribute NEW numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}

@data
1,0,0,0,0,0,0,0,0,0,0,0,?
7,1,0,1,0,1,2,5,0,3,0,2,?
3,0,0,1,0,1,1,2,0,1,0,1,?
2,1,0,0,0,0,0,0,0,0,0,0,?
3,1,0,0,0,1,0,1,0,0,0,0,?
5,1,0,0,0,3,0,6,0,0,0,0,?
3,1,0,0,0,1,0,2,0,0,0,0,?
3,1,0,0,0,1,0,2,0,0,0,0,?
5,0,0,2,0,3,0,7,1,0,0,3,?
3,1,0,0,0,1,0,4,0,0,0,1,?
14,7,0,0,0,0,0,21,4,0,0,8,?
15,9,0,3,0,4,0,29,1,0,0,12,?
6,1,0,3,0,4,0,5,0,0,3,3,?
10,1,0,5,0,8,0,11,0,0,5,5,?
4,0,0,1,0,3,0,4,0,0,1,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
9,4,0,2,0,3,0,16,1,0,0,6,?
6,1,0,1,0,4,0,7,0,0,1,1,?
1,0,0,0,0,0,0,0,0,0,0,0,?
24,8,0,3,0,7,2,36,1,3,0,13,?
17,7,0,2,0,5,1,24,1,1,0,9,?
28,7,0,1,0,6,2,50,1,4,1,15,?
14,3,0,1,0,6,1,19,0,2,1,5,?
11,6,0,0,1,1,0,19,2,0,0,7,?
27,6,0,1,0,6,2,49,1,4,0,14,?
13,2,0,1,0,6,1,18,0,2,0,4,?
11,6,0,0,1,1,0,19,2,0,0,7,?
23,14,1,0,0,4,1,43,1,2,0,14,?
22,14,1,0,0,4,1,43,1,1,0,14,?
26,8,0,16,0,17,0,41,0,0,0,16,?
31,11,0,10,0,14,0,38,2,1,4,24,?
10,5,0,0,1,1,0,16,2,0,0,6,?
3,1,0,0,0,1,0,2,0,0,0,0,?
5,0,0,4,0,4,0,0,0,0,4,4,?
7,1,0,2,0,5,0,8,0,0,2,2,?
3,0,0,1,0,2,0,4,0,0,0,1,?
5,1,0,2,0,3,0,9,0,0,0,3,?
5,1,0,2,0,3,0,7,0,0,0,2,?
5,1,0,2,0,3,0,7,0,0,0,2,?
5,2,0,0,0,1,0,7,1,0,0,2,?
7,2,0,1,0,2,0,12,1,0,0,4,?
1,0,0,0,0,0,0,0,0,0,0,0,?
7,1,0,1,0,1,2,6,0,3,0,2,?
3,0,0,1,0,1,1,2,0,1,0,1,?
2,1,0,0,0,0,0,0,0,0,0,0,?
3,1,0,0,0,1,0,1,0,0,0,0,?
2,1,0,0,0,0,0,0,0,0,0,0,?
5,1,0,0,0,3,0,6,0,0,0,0,?
3,1,0,0,0,1,0,2,0,0,0,0,?
21,6,0,9,0,11,0,32,3,0,6,14,?
7,0,0,2,0,4,1,9,0,1,1,3,?
6,0,0,1,0,3,1,7,0,1,0,2,?
16,2,0,4,0,7,1,26,1,1,1,9,?
13,1,0,3,0,6,1,22,0,1,0,7,?
16,2,0,4,0,7,1,26,1,1,1,9,?
13,1,0,3,0,6,1,22,0,1,0,7,?
30,12,0,4,0,9,1,58,2,1,0,18,?
17,3,0,3,0,8,1,30,0,1,0,9,?
45,11,0,19,0,24,0,84,3,0,1,30,?
18,3,1,3,0,7,1,32,0,2,0,10,?
21,5,1,4,0,8,1,39,1,1,0,11,?
18,3,1,3,0,6,1,32,0,2,0,11,?
21,5,1,4,0,7,1,39,1,1,0,12,?
22,9,0,5,0,8,0,36,1,0,0,11,?
49,17,1,20,0,21,2,84,5,2,1,28,?
6,0,1,2,0,3,2,7,0,2,0,2,?
47,17,0,19,0,20,1,81,5,1,1,27,?
11,5,0,2,0,3,0,14,1,1,0,4,?
5,1,0,1,0,2,0,5,0,0,0,2,?
45,22,0,13,0,14,2,74,1,3,0,27,?
35,17,0,12,0,13,1,54,1,1,0,20,?
9,0,0,4,0,7,0,11,1,0,1,8,?
3,1,0,0,0,1,0,2,0,0,0,0,?
3,0,0,1,0,2,0,4,0,0,0,1,?
8,3,0,1,0,2,0,10,1,0,1,4,?
4,1,0,0,0,0,0,5,1,0,0,2,?
4,0,0,0,0,2,1,4,0,1,0,0,?
8,2,2,0,0,2,3,11,0,3,0,2,?
12,2,3,2,0,4,4,19,0,4,0,5,?
12,2,3,2,0,4,4,19,0,4,0,5,?
5,0,1,0,0,2,2,5,0,2,0,0,?
3,0,0,1,0,2,0,4,0,0,0,1,?
8,4,0,1,0,2,0,13,1,0,0,5,?
3,1,0,0,0,1,0,2,0,0,0,0,?
51,28,4,7,0,8,4,77,4,4,1,36,?
14,2,4,3,0,4,4,15,0,4,1,7,?
12,2,3,2,0,3,3,13,0,3,1,6,?
49,26,4,7,0,8,4,75,4,4,1,35,?
12,0,4,3,0,4,4,13,0,4,1,6,?
10,0,3,2,0,3,3,11,0,3,1,5,?
47,26,3,6,0,7,3,74,4,3,0,34,?
10,0,3,2,0,3,3,12,0,3,0,5,?
8,0,2,1,0,2,2,10,0,2,0,4,?
52,28,4,7,0,8,4,79,4,4,1,37,?
15,2,4,3,0,4,4,17,0,4,1,8,?
13,2,3,2,0,3,3,15,0,3,1,7,?
50,26,4,7,0,8,4,77,4,4,1,36,?
13,0,4,3,0,4,4,15,0,4,1,7,?
11,0,3,2,0,3,3,13,0,3,1,6,?
48,26,3,6,0,7,3,76,4,3,0,35,?
11,0,3,2,0,3,3,14,0,3,0,6,?
9,0,2,1,0,2,2,12,0,2,0,5,?
6,4,0,0,0,1,0,5,0,0,0,0,?
18,6,1,1,0,2,3,18,0,5,0,7,?
17,6,1,1,0,2,3,18,0,4,0,7,?
13,5,1,1,0,2,2,12,0,3,0,5,?
12,5,1,1,0,2,2,12,0,2,0,5,?
3,1,0,0,0,1,0,1,0,0,0,0,?
8,2,0,4,0,4,0,6,0,0,4,7,?
18,4,0,3,0,5,2,23,3,3,2,10,?
11,3,0,2,0,3,1,13,2,1,2,6,?
3,1,0,0,0,0,0,3,1,0,0,1,?
4,0,0,0,0,2,1,4,0,1,0,0,?
8,2,2,0,0,2,3,11,0,3,0,2,?
12,2,3,2,0,4,4,19,0,4,0,5,?
16,3,3,4,0,6,5,27,0,5,0,8,?
16,3,3,4,0,6,5,27,0,5,0,8,?
5,0,1,0,0,2,2,5,0,2,0,0,?
3,0,0,1,0,2,0,4,0,0,0,1,?
3,1,0,0,0,1,0,2,0,0,0,0,?
3,0,0,1,0,2,0,4,0,0,0,1,?
4,0,0,1,0,3,0,4,0,0,1,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
4,0,0,1,0,3,0,4,0,0,1,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
4,0,0,1,0,3,0,4,0,0,1,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
4,0,0,1,0,3,0,4,0,0,1,1,?
3,0,0,1,0,2,0,4,0,0,0,1,?
4,0,0,1,0,3,0,4,0,0,1,1,?
5,0,0,2,0,3,0,9,0,0,0,3,?
25,9,2,4,0,7,2,46,0,4,0,10,?
24,9,2,4,0,7,2,45,0,3,0,10,?
17,6,1,4,0,7,1,33,0,1,0,7,?
6,1,0,0,0,1,1,6,0,2,0,2,?
5,1,0,0,0,1,1,6,0,1,0,2,?
23,11,3,2,0,4,3,36,2,4,0,13,?
12,3,2,2,0,4,2,17,1,2,0,6,?
